case,activity,startTime,user,issue_type,request_type,priority,assignee,security,project,ma
Case01-1001,Open,2022-06-06 17:17:35.201,User_343,Query,ReqType_4,Low,Assignee_5,Security_1,Project_1,M
Case01-1002,First assigned,2022-06-07 10:17:09.453,User_5,Incident,ReqType_2,Low,Assignee_2,Security_1,Project_2,M
Case01-1002,Closed,2022-06-15 10:29:42.202,User_3,Incident,ReqType_21,Low,Assignee_5,Security_7,Project_1,A
Case01-1002,Waiting validation,2022-06-07 10:28:46.037,User_3,Incident,ReqType_21,Low,Assignee_5,Security_7,Project_1,A
Case01-1002,Resolved,2022-06-07 10:28:44.078,User_14,Incident,ReqType_21,Low,Assignee_5,Security_7,Project_1,M
Case01-1002,In Progress,2022-06-07 10:17:07.563,User_14,Incident,ReqType_21,Low,Assignee_5,Security_7,Project_1,M
Case01-1002,Open,2022-06-06 17:38:51.946,User_162,Incident,ReqType_21,Low,Assignee_5,Security_7,Project_1,M
Case01-1003,First assigned,2022-06-07 10:14:17.600,User_6,Incident,ReqType_2,Low,Assignee_2,Security_1,Project_2,M
Case01-1003,Moved ticket,2022-06-06 17:58:49.805,User_3,Incident,ReqType_2,Low,Assignee_2,Security_1,Project_2,M
Case01-1003,Closed,2022-06-07 10:26:49.689,User_341,Incident,ReqType_4,Low,Assignee_5,Security_1,Project_1,M
Case01-1003,Waiting validation,2022-06-07 10:16:07.232,User_3,Incident,ReqType_4,Low,Assignee_5,Security_1,Project_1,A
Case01-1003,Resolved,2022-06-07 10:16:05.127,User_14,Incident,ReqType_4,Low,Assignee_5,Security_1,Project_1,M
Case01-1003,In Progress,2022-06-07 10:14:20.089,User_14,Incident,ReqType_4,Low,Assignee_5,Security_1,Project_1,M
Case01-1003,Open,2022-06-06 16:36:21.944,User_341,Incident,ReqType_4,Low,Assignee_5,Security_1,Project_1,M
Case01-1008,First assigned,2022-06-07 08:25:11.794,User_5,Incident,ReqType_3,Low,Assignee_3,Security_1,Project_2,M
Case01-1008,Moved ticket,2022-06-07 07:54:11.119,User_7,Incident,ReqType_3,Low,Assignee_3,Security_1,Project_2,M
Case01-1008,Closed,2022-06-07 15:16:43.894,User_345,Incident,ReqType_4,Low,Assignee_1,Security_1,Project_1,M
Case01-1008,Waiting validation,2022-06-07 08:48:24.896,User_3,Incident,ReqType_4,Low,Assignee_1,Security_1,Project_1,A
Case01-1008,Resolved,2022-06-07 08:48:23.018,User_2,Incident,ReqType_4,Low,Assignee_1,Security_1,Project_1,M
Case01-1008,In Progress,2022-06-07 08:32:00.894,User_2,Incident,ReqType_4,Low,Assignee_1,Security_1,Project_1,M
Case01-1008,Open,2022-06-06 23:41:42.266,User_345,Incident,ReqType_4,Low,Assignee_1,Security_1,Project_1,M
Case01-1010,First assigned,2022-06-07 10:33:48.662,User_5,Incident,ReqType_3,Low,Assignee_3,Security_1,Project_2,M
Case01-1010,Closed,2022-06-15 10:55:46.076,User_3,Incident,ReqType_4,Low,Assignee_13,Security_1,Project_1,A
Case01-1010,Waiting validation,2022-06-07 10:55:09.932,User_3,Incident,ReqType_4,Low,Assignee_13,Security_1,Project_1,A
Case01-1010,Resolved,2022-06-07 10:55:07.741,User_9,Incident,ReqType_4,Low,Assignee_13,Security_1,Project_1,M
Case01-1010,In Progress,2022-06-07 10:37:20.633,User_9,Incident,ReqType_4,Low,Assignee_13,Security_1,Project_1,M
Case01-1010,Open,2022-06-07 10:33:13.867,User_9,Incident,ReqType_4,Low,Assignee_13,Security_1,Project_1,M
Case01-1011,First assigned,2022-06-07 10:46:08.079,User_3,Incident,ReqType_3,Low,Assignee_3,Security_1,Project_2,M
Case01-1011,Closed,2022-06-07 10:52:16.066,User_9,Incident,ReqType_10,Low,Assignee_13,Security_1,Project_1,M
Case01-1011,Waiting validation,2022-06-07 10:51:58.850,User_3,Incident,ReqType_10,Low,Assignee_13,Security_1,Project_1,A
Case01-1011,Resolved,2022-06-07 10:51:56.637,User_9,Incident,ReqType_10,Low,Assignee_13,Security_1,Project_1,M
Case01-1011,In Progress,2022-06-07 10:46:22.947,User_9,Incident,ReqType_10,Low,Assignee_13,Security_1,Project_1,M
Case01-1011,Open,2022-06-07 10:41:34.621,User_9,Incident,ReqType_10,Low,Assignee_13,Security_1,Project_1,M
Case01-1013,Moved ticket,2022-06-07 11:43:03.028,User_8,Query,ReqType_3,Low,Assignee_2,Security_1,Project_2,M
Case01-1013,First assigned,2022-06-07 12:43:02.072,User_7,Query,ReqType_3,Low,Assignee_3,Security_1,Project_2,M
Case01-1013,Closed,2022-07-05 11:47:22.765,User_6,Query,ReqType_4,Low,Assignee_5,Security_6,Project_1,M
Case01-1013,Waiting validation,2022-06-07 14:03:59.600,User_3,Query,ReqType_4,Low,Assignee_5,Security_6,Project_1,A
Case01-1013,Resolved,2022-06-07 14:03:57.357,User_14,Query,ReqType_4,Low,Assignee_5,Security_6,Project_1,M
Case01-1013,In Progress,2022-06-07 13:07:27.609,User_3,Query,ReqType_4,Low,Assignee_5,Security_6,Project_1,A
Case01-1013,Resolution Rejected,2022-06-07 13:07:25.550,User_314,Query,ReqType_4,Low,Assignee_5,Security_6,Project_1,M
Case01-1013,Waiting validation,2022-06-07 13:00:48.882,User_3,Query,ReqType_4,Low,Assignee_5,Security_6,Project_1,A
Case01-1013,Resolved,2022-06-07 13:00:46.806,User_14,Query,ReqType_4,Low,Assignee_5,Security_6,Project_1,M
Case01-1013,In Progress,2022-06-07 12:43:03.462,User_14,Query,ReqType_4,Low,Assignee_5,Security_6,Project_1,M
Case01-1013,Open,2022-06-07 11:30:25.512,User_314,Query,ReqType_4,Low,Assignee_5,Security_6,Project_1,M
Case01-1015,First assigned,2022-06-07 13:53:46.485,User_5,Query,ReqType_3,Low,Assignee_2,Security_1,Project_2,M
Case01-1015,Closed,2022-06-07 15:22:47.518,User_20,Query,ReqType_36,Low,Assignee_1,Security_1,Project_1,M
Case01-1015,Waiting validation,2022-06-07 13:58:01.974,User_3,Query,ReqType_36,Low,Assignee_1,Security_1,Project_1,A
Case01-1015,Resolved,2022-06-07 13:58:00.113,User_2,Query,ReqType_36,Low,Assignee_1,Security_1,Project_1,M
Case01-1015,In Progress,2022-06-07 13:55:56.107,User_3,Query,ReqType_36,Low,Assignee_1,Security_1,Project_1,A
Case01-1015,Resolution Rejected,2022-06-07 13:55:53.762,User_20,Query,ReqType_36,Low,Assignee_1,Security_1,Project_1,M
Case01-1015,Waiting validation,2022-06-07 13:53:47.343,User_3,Query,ReqType_36,Low,Assignee_1,Security_1,Project_1,A
Case01-1015,Resolved,2022-06-07 13:53:45.319,User_2,Query,ReqType_36,Low,Assignee_1,Security_1,Project_1,M
Case01-1015,In Progress,2022-06-07 13:53:44.112,User_2,Query,ReqType_36,Low,Assignee_1,Security_1,Project_1,M
Case01-1015,Open,2022-06-07 13:07:27.284,User_20,Query,ReqType_36,Low,Assignee_1,Security_1,Project_1,M
Case01-1017,First assigned,2022-06-07 15:52:55.297,User_5,Incident,ReqType_3,Low,Assignee_2,Security_1,Project_2,M
Case01-1017,Closed,2022-06-17 11:54:29.173,User_3,Incident,ReqType_10,Low,Assignee_1,Security_12,Project_1,A
Case01-1017,Waiting validation,2022-06-09 11:53:39.879,User_3,Incident,ReqType_10,Low,Assignee_1,Security_12,Project_1,A
Case01-1017,Resolved,2022-06-09 11:53:37.776,User_2,Incident,ReqType_10,Low,Assignee_1,Security_12,Project_1,M
Case01-1017,In Progress,2022-06-09 11:52:40.083,User_3,Incident,ReqType_10,Low,Assignee_1,Security_12,Project_1,A
Case01-1017,Escalated,2022-06-07 16:45:34.702,User_3,Incident,ReqType_10,Low,Assignee_1,Security_12,Project_1,A
Case01-1017,In Progress,2022-06-07 15:52:53.894,User_2,Incident,ReqType_10,Low,Assignee_1,Security_12,Project_1,M
Case01-1017,Open,2022-06-07 15:33:32.854,User_172,Incident,ReqType_10,Low,Assignee_1,Security_12,Project_1,M
Case01-1020,First assigned,2022-06-07 15:56:08.493,User_3,Incident,ReqType_3,Low,Assignee_2,Security_1,Project_2,M
Case01-1020,Closed,2022-06-15 16:11:40.009,User_3,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,A
Case01-1020,Waiting validation,2022-06-07 16:10:36.925,User_3,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,A
Case01-1020,Resolved,2022-06-07 16:10:35.002,User_14,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,M
Case01-1020,In Progress,2022-06-07 15:56:31.042,User_14,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,M
Case01-1020,Open,2022-06-07 15:52:07.941,User_17,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,M
Case01-1021,First assigned,2022-06-07 18:33:07.916,User_8,Incident,ReqType_3,Low,Assignee_2,Security_1,Project_2,M
Case01-1021,Closed,2022-06-17 18:59:23.948,User_3,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,A
Case01-1021,Waiting validation,2022-06-09 18:58:20.184,User_3,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,A
Case01-1021,Resolved,2022-06-09 18:58:17.903,User_14,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,M
Case01-1021,In Progress,2022-06-09 18:58:15.542,User_14,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,M
Case01-1021,Open,2022-06-07 18:40:59.813,User_14,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,M
Case01-1021,In Progress,2022-06-07 18:40:55.105,User_14,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,M
Case01-1021,Open,2022-06-07 16:26:11.042,User_16,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,M
Case01-1022,First assigned,2022-06-07 18:34:01.373,User_8,Incident,ReqType_4,Low,Assignee_2,Security_1,Project_2,M
Case01-1022,Closed,2022-06-17 18:58:43.854,User_3,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,A
Case01-1022,Waiting validation,2022-06-09 18:58:06.880,User_3,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,A
Case01-1022,Resolved,2022-06-09 18:58:04.739,User_14,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,M
Case01-1022,In Progress,2022-06-09 18:58:01.954,User_14,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,M
Case01-1022,Open,2022-06-07 16:44:31.921,User_17,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,M
Case01-1023,First assigned,2022-06-07 18:34:35.298,User_5,Request,ReqType_4,Low,Assignee_2,Security_1,Project_2,M
Case01-1023,Closed,2022-06-14 23:18:40.056,User_25,Request,ReqType_43,Low,Assignee_5,Security_3,Project_1,M
Case01-1023,Waiting validation,2022-06-14 21:01:27.617,User_3,Request,ReqType_43,Low,Assignee_5,Security_3,Project_1,A
Case01-1023,Resolved,2022-06-14 21:01:25.610,User_14,Request,ReqType_43,Low,Assignee_5,Security_3,Project_1,M
Case01-1023,In Progress,2022-06-14 18:48:24.207,User_3,Request,ReqType_43,Low,Assignee_5,Security_3,Project_1,A
Case01-1023,Waiting for user,2022-06-07 18:40:43.333,User_14,Request,ReqType_43,Low,Assignee_5,Security_3,Project_1,M
Case01-1023,In Progress,2022-06-07 18:40:39.909,User_14,Request,ReqType_43,Low,Assignee_5,Security_3,Project_1,M
Case01-1023,Open,2022-06-07 18:40:36.275,User_14,Request,ReqType_43,Low,Assignee_5,Security_3,Project_1,M
Case01-1023,Pending,2022-06-07 18:40:30.337,User_14,Request,ReqType_43,Low,Assignee_5,Security_3,Project_1,M
Case01-1023,Open,2022-06-07 17:05:38.265,User_25,Request,ReqType_43,Low,Assignee_5,Security_3,Project_1,M
Case01-1024,First assigned,2022-06-07 18:35:51.842,User_5,Request,ReqType_4,Low,Assignee_2,Security_1,Project_2,M
Case01-1024,Closed,2022-06-14 16:58:49.700,User_25,Request,ReqType_43,Low,Assignee_5,Security_3,Project_1,M
Case01-1024,Waiting validation,2022-06-14 10:33:08.508,User_3,Request,ReqType_43,Low,Assignee_5,Security_3,Project_1,A
Case01-1024,Resolved,2022-06-14 10:33:06.061,User_14,Request,ReqType_43,Low,Assignee_5,Security_3,Project_1,M
Case01-1024,In Progress,2022-06-14 10:33:03.590,User_14,Request,ReqType_43,Low,Assignee_5,Security_3,Project_1,M
Case01-1024,Waiting for user,2022-06-07 18:40:24.781,User_14,Request,ReqType_43,Low,Assignee_5,Security_3,Project_1,M
Case01-1024,In Progress,2022-06-07 18:40:21.493,User_14,Request,ReqType_43,Low,Assignee_5,Security_3,Project_1,M
Case01-1024,Open,2022-06-07 17:09:11.522,User_25,Request,ReqType_43,Low,Assignee_5,Security_3,Project_1,M
Case01-1025,Moved ticket,2022-06-07 17:23:08.072,User_3,Request,ReqType_4,Low,Assignee_2,Security_1,Project_2,M
Case01-1025,First assigned,2022-06-07 18:36:02.318,User_5,Request,ReqType_4,Low,Assignee_2,Security_1,Project_2,M
Case01-1025,Closed,2022-06-09 12:03:23.684,User_347,Request,ReqType_4,Low,Assignee_5,Security_6,Project_1,M
Case01-1025,Waiting validation,2022-06-08 09:25:57.182,User_3,Request,ReqType_4,Low,Assignee_5,Security_6,Project_1,A
Case01-1025,Resolved,2022-06-08 09:25:54.691,User_14,Request,ReqType_4,Low,Assignee_5,Security_6,Project_1,M
Case01-1025,In Progress,2022-06-07 20:55:25.828,User_80,Request,ReqType_4,Low,Assignee_5,Security_6,Project_1,M
Case01-1025,Waiting for approval,2022-06-07 18:36:32.859,User_14,Request,ReqType_4,Low,Assignee_5,Security_6,Project_1,M
Case01-1025,In Progress,2022-06-07 18:36:29.484,User_14,Request,ReqType_4,Low,Assignee_5,Security_6,Project_1,M
Case01-1025,Open,2022-06-07 17:18:39.873,User_347,Request,ReqType_4,Low,Assignee_5,Security_6,Project_1,M
Case01-1026,First assigned,2022-06-07 18:38:21.568,User_5,Incident,ReqType_4,Low,Assignee_2,Security_1,Project_2,M
Case01-1026,Closed,2022-06-13 17:00:57.341,User_107,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,M
Case01-1026,Waiting validation,2022-06-13 16:58:16.877,User_3,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,A
Case01-1026,Resolved,2022-06-13 16:58:14.822,User_14,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,M
Case01-1026,In Progress,2022-06-13 16:58:12.539,User_14,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,M
Case01-1026,Waiting for user,2022-06-07 18:40:08.025,User_14,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,M
Case01-1026,In Progress,2022-06-07 18:40:05.448,User_14,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,M
Case01-1026,Open,2022-06-07 18:20:13.003,User_107,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,M
Case01-1027,First assigned,2022-06-07 18:41:37.620,User_5,Query,ReqType_4,Low,Assignee_2,Security_1,Project_2,M
Case01-1027,Closed,2022-06-16 09:52:39.059,User_3,Query,ReqType_27,Low,Assignee_5,Security_7,Project_1,A
Case01-1027,Waiting validation,2022-06-08 09:51:24.743,User_3,Query,ReqType_27,Low,Assignee_5,Security_7,Project_1,A
Case01-1027,Resolved,2022-06-08 09:51:22.380,User_14,Query,ReqType_27,Low,Assignee_5,Security_7,Project_1,M
Case01-1027,In Progress,2022-06-08 09:49:44.176,User_14,Query,ReqType_27,Low,Assignee_5,Security_7,Project_1,M
Case01-1027,Open,2022-06-07 18:40:52.155,User_348,Query,ReqType_27,Low,Assignee_5,Security_7,Project_1,M
Case01-1028,First assigned,2022-06-08 03:13:04.209,User_3,Incident,ReqType_4,Low,Assignee_2,Security_1,Project_2,M
Case01-1028,Closed,2022-06-08 14:40:42.937,User_349,Incident,ReqType_13,Low,Assignee_8,Security_3,Project_1,M
Case01-1028,Waiting validation,2022-06-08 03:17:55.583,User_3,Incident,ReqType_13,Low,Assignee_8,Security_3,Project_1,A
Case01-1028,Resolved,2022-06-08 03:17:53.620,User_51,Incident,ReqType_13,Low,Assignee_8,Security_3,Project_1,M
Case01-1028,In Progress,2022-06-08 03:13:06.049,User_51,Incident,ReqType_13,Low,Assignee_8,Security_3,Project_1,M
Case01-1028,Open,2022-06-07 18:48:32.466,User_349,Incident,ReqType_13,Low,Assignee_8,Security_3,Project_1,M
Case01-1029,First assigned,2022-06-08 03:28:02.381,User_9,Request,ReqType_5,Low,Assignee_2,Security_2,Project_2,M
Case01-1029,Moved ticket,2022-06-07 19:01:08.149,User_8,Request,ReqType_4,Low,Assignee_2,Security_1,Project_2,M
Case01-1029,Closed,2022-07-05 11:47:22.215,User_6,Request,ReqType_4,Low,Assignee_8,Security_1,Project_1,M
Case01-1029,Waiting validation,2022-06-08 03:28:35.028,User_3,Request,ReqType_4,Low,Assignee_8,Security_1,Project_1,A
Case01-1029,Resolved,2022-06-08 03:28:33.177,User_51,Request,ReqType_4,Low,Assignee_8,Security_1,Project_1,M
Case01-1029,In Progress,2022-06-08 03:28:00.771,User_51,Request,ReqType_4,Low,Assignee_8,Security_1,Project_1,M
Case01-1029,Open,2022-06-07 18:55:53.111,User_295,Request,ReqType_4,Low,Assignee_8,Security_1,Project_1,M
Case01-103,First assigned,2022-04-06 10:30:45.904,User_3,Incident,ReqType_5,Medium,Assignee_2,Security_2,Project_2,M
Case01-103,Change in person assigned,2022-04-20 11:14:42.396,User_9,Incident,ReqType_5,Medium,Assignee_2,Security_2,Project_2,M
Case01-103,Change in person assigned,2022-04-20 11:21:45.885,User_9,Incident,ReqType_5,Medium,Assignee_2,Security_2,Project_2,M
Case01-103,Closed,2022-04-29 10:07:05.002,User_38,Incident,ReqType_16,Medium,Assignee_1,Security_3,Project_1,M
Case01-103,Waiting validation,2022-04-29 10:05:02.963,User_3,Incident,ReqType_16,Medium,Assignee_1,Security_3,Project_1,A
Case01-103,Resolved,2022-04-29 10:05:00.863,User_2,Incident,ReqType_16,Medium,Assignee_1,Security_3,Project_1,M
Case01-103,In Progress,2022-04-29 10:04:57.487,User_2,Incident,ReqType_16,Medium,Assignee_1,Security_3,Project_1,M
Case01-103,Waiting,2022-04-29 10:03:07.909,User_2,Incident,ReqType_16,Medium,Assignee_1,Security_3,Project_1,M
Case01-103,In Progress,2022-04-27 20:59:03.663,User_2,Incident,ReqType_16,Medium,Assignee_1,Security_3,Project_1,M
Case01-103,Waiting,2022-04-20 16:17:18.770,User_2,Incident,ReqType_16,Medium,Assignee_1,Security_3,Project_1,M
Case01-103,In Progress,2022-04-20 16:17:17.576,User_2,Incident,ReqType_16,Medium,Assignee_1,Security_3,Project_1,M
Case01-103,Open,2022-04-20 11:14:30.931,User_2,Incident,ReqType_16,Medium,Assignee_1,Security_3,Project_1,M
Case01-103,In Progress,2022-04-20 11:14:19.831,User_2,Incident,ReqType_16,Medium,Assignee_1,Security_3,Project_1,M
Case01-103,Waiting,2022-04-20 11:14:06.782,User_2,Incident,ReqType_16,Medium,Assignee_1,Security_3,Project_1,M
Case01-103,In Progress,2022-04-06 10:30:47.765,User_2,Incident,ReqType_16,Medium,Assignee_1,Security_3,Project_1,M
Case01-103,Open,2022-04-06 09:56:37.854,User_38,Incident,ReqType_16,Medium,Assignee_1,Security_3,Project_1,M
Case01-1030,First assigned,2022-06-08 09:03:48.164,User_2,Request,ReqType_6,Low,Assignee_1,Security_1,Project_1,M
Case01-1030,Moved ticket,2022-06-07 23:35:21.495,User_10,Request,ReqType_6,Low,Assignee_1,Security_1,Project_1,M
Case01-1030,Moved ticket,2022-06-07 23:17:53.463,User_9,Request,ReqType_5,Low,Assignee_2,Security_2,Project_2,M
Case01-1030,Closed,2022-06-08 15:19:34.534,User_350,Request,ReqType_4,Low,Assignee_8,Security_1,Project_1,M
Case01-1030,Waiting validation,2022-06-08 09:03:54.548,User_3,Request,ReqType_4,Low,Assignee_8,Security_1,Project_1,A
Case01-1030,Resolved,2022-06-08 09:03:52.303,User_14,Request,ReqType_4,Low,Assignee_8,Security_1,Project_1,M
Case01-1030,In Progress,2022-06-08 09:03:50.642,User_14,Request,ReqType_4,Low,Assignee_8,Security_1,Project_1,M
Case01-1030,Open,2022-06-07 21:53:58.436,User_350,Request,ReqType_4,Low,Assignee_8,Security_1,Project_1,M
Case01-1031,First assigned,2022-06-08 08:13:36.090,User_10,Request,ReqType_6,Low,Assignee_1,Security_1,Project_1,M
Case01-1031,Change in incidence type,2022-08-17 10:42:32.867,User_3,Request,ReqType_6,Low,Assignee_1,Security_1,Project_1,M
Case01-1031,Change in request type,2022-08-17 10:43:57.669,User_2,Request,ReqType_6,Low,Assignee_1,Security_1,Project_1,M
Case01-1031,Closed,2022-06-09 10:13:55.196,User_222,Request,ReqType_11,Low,Assignee_1,Security_12,Project_1,M
Case01-1031,Waiting validation,2022-06-09 10:11:56.560,User_3,Request,ReqType_11,Low,Assignee_1,Security_12,Project_1,A
Case01-1031,Resolved,2022-06-09 10:11:54.348,User_2,Request,ReqType_11,Low,Assignee_1,Security_12,Project_1,M
Case01-1031,In Progress,2022-06-09 10:11:15.529,User_3,Request,ReqType_11,Low,Assignee_1,Security_12,Project_1,A
Case01-1031,Escalated,2022-06-09 09:41:33.545,User_3,Request,ReqType_11,Low,Assignee_1,Security_12,Project_1,A
Case01-1031,In Progress,2022-06-09 07:59:58.234,User_3,Request,ReqType_11,Low,Assignee_1,Security_12,Project_1,A
Case01-1031,Waiting for user,2022-06-08 08:20:48.480,User_2,Request,ReqType_11,Low,Assignee_1,Security_12,Project_1,M
Case01-1031,In Progress,2022-06-08 08:13:31.414,User_2,Request,ReqType_11,Low,Assignee_1,Security_12,Project_1,M
Case01-1031,Open,2022-06-08 07:59:37.993,User_222,Request,ReqType_11,Low,Assignee_1,Security_12,Project_1,M
Case01-1032,First assigned,2022-06-08 10:03:26.270,User_11,Incident,ReqType_1,Low,Assignee_1,Security_2,Project_1,M
Case01-1032,Closed,2022-06-09 14:27:58.662,User_16,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,M
Case01-1032,Waiting validation,2022-06-08 15:06:50.334,User_3,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,A
Case01-1032,Resolved,2022-06-08 15:06:47.896,User_14,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,M
Case01-1032,In Progress,2022-06-08 15:06:44.980,User_14,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,M
Case01-1032,Open,2022-06-08 08:52:24.229,User_16,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,M
Case01-1034,First assigned,2022-06-08 09:55:56.727,User_2,Incident,ReqType_1,Low,Assignee_1,Security_2,Project_1,M
Case01-1034,Closed,2022-06-08 13:18:54.652,User_16,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,M
Case01-1034,Waiting validation,2022-06-08 10:01:58.405,User_3,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,A
Case01-1034,Resolved,2022-06-08 10:01:55.860,User_14,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,M
Case01-1034,In Progress,2022-06-08 09:55:58.246,User_14,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,M
Case01-1034,Open,2022-06-08 09:18:43.196,User_16,Incident,ReqType_4,Low,Assignee_5,Security_8,Project_1,M
Case01-1035,First assigned,2022-06-08 10:02:19.130,User_2,Request,ReqType_1,Low,Assignee_1,Security_2,Project_1,M
Case01-1035,Closed,2022-07-05 11:47:21.563,User_6,Request,ReqType_35,Low,Assignee_5,Security_6,Project_1,M
Case01-1035,Waiting validation,2022-06-14 13:36:24.058,User_3,Request,ReqType_35,Low,Assignee_5,Security_6,Project_1,A
Case01-1035,Resolved,2022-06-14 13:36:21.710,User_14,Request,ReqType_35,Low,Assignee_5,Security_6,Project_1,M
Case01-1035,In Progress,2022-06-08 17:04:58.811,User_259,Request,ReqType_35,Low,Assignee_5,Security_6,Project_1,M
Case01-1035,Waiting for approval,2022-06-08 12:16:38.785,User_14,Request,ReqType_35,Low,Assignee_5,Security_6,Project_1,M
Case01-1035,In Progress,2022-06-08 12:16:33.945,User_14,Request,ReqType_35,Low,Assignee_5,Security_6,Project_1,M
